Unnamed: 0,province,CO2_tonnes,year
306.0,Yala,584147.5656688252,2003
307.0,Yasothon,553847.6995504512,2003
308.0,Amnat Charoen,302909.50496436545,2004
309.0,Ang Thong,746813.065485599,2004
310.0,Bangkok,22011833.71603234,2004
311.0,Bueng Kan,154980.00916453122,2004
312.0,Buriram,1072315.666509284,2004
313.0,Chachoengsao,10205790.06209069,2004
314.0,Chainat,779683.997729207,2004
315.0,Chaiyaphum,1259270.527523778,2004
316.0,Chanthaburi,1426173.4838810205,2004
317.0,Chiang Mai,5484152.731372467,2004
318.0,Chiang Rai,1848795.015908796,2004
319.0,Chonburi,9340646.599606205,2004
320.0,Chumphon,1713803.9346677836,2004
321.0,Kalasin,1221427.0751124858,2004
322.0,Kamphaeng Phet,1412093.6050735808,2004
323.0,Kanchanaburi,3336645.767566671,2004
324.0,Khon Kaen,4472753.752114973,2004
325.0,Krabi,1265034.1174297929,2004
326.0,Lampang,22757842.662386604,2004
327.0,Lamphun,1067805.435439619,2004
328.0,Loei,597247.0893531141,2004
329.0,Lopburi,2497519.7845343035,2004
330.0,Mae Hong Son,243996.322093956,2004
331.0,Maha Sarakham,778029.6789688901,2004
332.0,Mukdahan,408240.1533746204,2004
333.0,Nakhon Nayok,821196.0764096903,2004
334.0,Nakhon Pathom,4118161.674608173,2004
335.0,Nakhon Phanom,607107.1410456495,2004
336.0,Nakhon Ratchasima,5926780.399260239,2004
337.0,Nakhon Sawan,2052753.589484681,2004
338.0,Nakhon Si Thammarat,3047046.536347098,2004
339.0,Nan,520599.8579927048,2004
340.0,Narathiwat,1471428.588721466,2004
341.0,Nong Bua Lamphu,240417.45216280792,2004
342.0,Nong Khai,442267.82722841454,2004
343.0,Nonthaburi,4859362.672630489,2004
344.0,Pathum Thani,5936321.688486058,2004
345.0,Pattani,1096578.4610967622,2004
346.0,Phang Nga,832492.1757671199,2004
347.0,Phatthalung,1047127.0326507149,2004
348.0,Phayao,603191.4712809911,2004
349.0,Phetchabun,1423195.0824126648,2004
350.0,Phetchaburi,1649695.6795197765,2004
351.0,Phichit,949100.1258723306,2004
352.0,Phitsanulok,2096910.06098734,2004
353.0,Phra Nakhon Si Ayutthaya,7773847.893216197,2004
354.0,Phrae,935812.0783124028,2004
355.0,Phuket,1636186.5958932834,2004
356.0,Prachin Buri,4288582.550889407,2004
357.0,Prachuap Khiri Khan,2420675.1845513005,2004
358.0,Ranong,502179.0466357803,2004
359.0,Ratchaburi,10341975.990061792,2004
360.0,Rayong,13309990.920519384,2004
361.0,Roi Et,1056697.551431083,2004
362.0,Sa Kaeo,956331.2500449328,2004
363.0,Sakon Nakhon,798998.9221273665,2004
364.0,Samut Prakan,5846851.38092266,2004
365.0,Samut Sakhon,2170510.625588844,2004
366.0,Samut Songkhram,481455.7759646439,2004
367.0,Saraburi,5363593.780584493,2004
368.0,Satun,836353.0900025959,2004
369.0,Sing Buri,650221.149307014,2004
370.0,Sisaket,901914.2150681876,2004
371.0,Songkhla,3947076.2964517497,2004
372.0,Sukhothai,1362989.5009394689,2004
373.0,Suphan Buri,3509979.081112136,2004
374.0,Surat Thani,3249207.250098733,2004
375.0,Surin,952057.3057658096,2004
376.0,Tak,1102398.0881071514,2004
377.0,Trang,1761636.399279374,2004
378.0,Trat,486161.07898734615,2004
379.0,Ubon Ratchathani,1578561.1369941577,2004
380.0,Udon Thani,2006563.8886015825,2004
381.0,Uthai Thani,528082.770766314,2004
382.0,Uttaradit,890852.8522018756,2004
383.0,Yala,953014.940490572,2004
384.0,Yasothon,501238.73021497054,2004
385.0,Amnat Charoen,241452.9598628311,2005
386.0,Ang Thong,764862.2173178372,2005
387.0,Bangkok,21967170.96245285,2005
388.0,Bueng Kan,243086.09423493623,2005
389.0,Buriram,559773.449331223,2005
390.0,Chachoengsao,10501039.890363837,2005
391.0,Chainat,850376.1611354327,2005
392.0,Chaiyaphum,1505898.504145783,2005
393.0,Chanthaburi,1466102.3015712542,2005
394.0,Chiang Mai,6046251.004393359,2005
395.0,Chiang Rai,2201913.747961041,2005
396.0,Chonburi,10795653.386638897,2005
397.0,Chumphon,1467534.2998309154,2005
398.0,Kalasin,1554372.3321670208,2005
399.0,Kamphaeng Phet,1391233.2876826038,2005
